ID,Acquisition_date,Split,SAR,B8,RGB,MASK,DEM
Jun_2019_0,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_0,/mnt/d/repos/toushka/patches/b8/Jun_2019_0,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_0,/mnt/d/repos/toushka/patches/mask/Jun_2019_0,/mnt/d/repos/toushka/patches/dem/DEM_0
Jun_2019_1,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_1,/mnt/d/repos/toushka/patches/b8/Jun_2019_1,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_1,/mnt/d/repos/toushka/patches/mask/Jun_2019_1,/mnt/d/repos/toushka/patches/dem/DEM_1
Jun_2019_2,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_2,/mnt/d/repos/toushka/patches/b8/Jun_2019_2,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_2,/mnt/d/repos/toushka/patches/mask/Jun_2019_2,/mnt/d/repos/toushka/patches/dem/DEM_2
Jun_2019_3,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_3,/mnt/d/repos/toushka/patches/b8/Jun_2019_3,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_3,/mnt/d/repos/toushka/patches/mask/Jun_2019_3,/mnt/d/repos/toushka/patches/dem/DEM_3
Jun_2019_4,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_4,/mnt/d/repos/toushka/patches/b8/Jun_2019_4,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_4,/mnt/d/repos/toushka/patches/mask/Jun_2019_4,/mnt/d/repos/toushka/patches/dem/DEM_4
Jun_2019_5,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_5,/mnt/d/repos/toushka/patches/b8/Jun_2019_5,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_5,/mnt/d/repos/toushka/patches/mask/Jun_2019_5,/mnt/d/repos/toushka/patches/dem/DEM_5
Jun_2019_6,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_6,/mnt/d/repos/toushka/patches/b8/Jun_2019_6,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_6,/mnt/d/repos/toushka/patches/mask/Jun_2019_6,/mnt/d/repos/toushka/patches/dem/DEM_6
Jun_2019_7,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_7,/mnt/d/repos/toushka/patches/b8/Jun_2019_7,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_7,/mnt/d/repos/toushka/patches/mask/Jun_2019_7,/mnt/d/repos/toushka/patches/dem/DEM_7
Jun_2019_8,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_8,/mnt/d/repos/toushka/patches/b8/Jun_2019_8,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_8,/mnt/d/repos/toushka/patches/mask/Jun_2019_8,/mnt/d/repos/toushka/patches/dem/DEM_8
Jun_2019_9,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_9,/mnt/d/repos/toushka/patches/b8/Jun_2019_9,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_9,/mnt/d/repos/toushka/patches/mask/Jun_2019_9,/mnt/d/repos/toushka/patches/dem/DEM_9
Jun_2019_10,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_10,/mnt/d/repos/toushka/patches/b8/Jun_2019_10,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_10,/mnt/d/repos/toushka/patches/mask/Jun_2019_10,/mnt/d/repos/toushka/patches/dem/DEM_10
Jun_2019_11,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_11,/mnt/d/repos/toushka/patches/b8/Jun_2019_11,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_11,/mnt/d/repos/toushka/patches/mask/Jun_2019_11,/mnt/d/repos/toushka/patches/dem/DEM_11
Jun_2019_12,Jun-19,training,/mnt/d/repos/toushka/patches/sentinel_1/Jun_2019_12,/mnt/d/repos/toushka/patches/b8/Jun_2019_12,/mnt/d/repos/toushka/patches/sentinel_2/Jun_2019_12,/mnt/d/repos/toushka/patches/mask/Jun_2019_12,/mnt/d/repos/toushka/patches/dem/DEM_12
